rank,name,score,hltb_completionist_hours,achievements_pct,playtime_hours,last_played,has_multiplayer_achievement,rarity_floor,avg_global_unlock_pct,hltb_found
1,Hexcells Plus,72.1815313103063,9.99,0.0,0.0,0,False,0.5,0.725,True
2,Tales from the Borderlands,70.83655360784371,11.59,0.0,0.0,0,False,0.466,0.5560857142857141,True
3,Hexcells,68.70595866646121,2.69,0.0,0.0,0,False,0.527,0.7476666666666667,True
4,Zero Escape: Zero Time Dilemma,65.19239276331231,21.76,0.0,0.0,0,False,0.335,0.5129999999999999,True
5,Rusty Lake Hotel,62.93325639381436,2.35,0.0,1.5166666666666666,1537661635,False,0.33,0.5603913043478261,True
6,NEKOPARA Extra,58.662720681263615,1.86,0.0,0.0,0,False,0.36200000000000004,0.473,True
7,NAIRI: Tower of Shirin,58.37499877434102,6.46,0.0,0.0,0,False,0.255,0.38959999999999995,True
8,Neighbours back From Hell,56.86684624639858,6.09,0.0,0.0,0,False,0.23600000000000002,0.42690909090909096,True
9,"Detective Instinct: Farewell, My Beloved",54.05429042713372,6.16,0.2,9.433333333333334,1766865863,False,0.129,0.3954666666666667,True
10,Planet of the Eyes,53.618640282005934,1.67,0.0,0.0,0,False,0.099,0.22171428571428575,True
11,Kathy Rain,53.54001464178953,6.98,0.0,0.0166666666666666,1478296721,False,0.133,0.15024999999999997,True
12,The Vanishing of Ethan Carter,52.460698117846036,4.31,0.0,0.0,0,False,0.092,0.3012857142857142,True
13,NEKOPARA Vol. 4,51.90701253633683,7.64,0.631578947368421,6.666666666666667,1760560453,False,0.222,0.472578947368421,True
14,The Testament of Sherlock Holmes,50.96855742143366,13.48,0.0,0.05,1611760503,False,0.059000000000000004,0.33596875000000004,True
15,The 39 Steps,50.551250979512815,4.86,0.0,0.45,1390584190,False,0.079,0.0917,True
16,The House in Fata Morgana,50.24206317683847,35.62,0.0,0.55,1750699978,False,0.09300000000000001,0.33881249999999996,True
17,Puzzle Agent 2,50.10827216264365,4.15,0.0,0.0,0,False,0.125,0.5912115384615384,True
18,LiEat,49.94309782164018,5.18,0.0,0.5666666666666667,1616531784,False,0.105,0.22263333333333335,True
19,Monkey Island 2: Special Edition,49.83150083171145,7.99,0.0,0.0,0,False,0.042,0.33083333333333337,True
20,Viscera Cleanup Detail: Shadow Warrior,49.70012919461932,2.2,0.0,0.0,0,False,0.12,0.16649999999999998,True
21,Magrunner: Dark Pulse,48.343079236291075,10.73,0.0,0.0,0,False,0.08900000000000001,0.2820833333333333,True
22,Hellblade: Senua's Sacrifice,47.84691724399421,9.22,0.0,0.0,0,False,0.054000000000000006,0.35121428571428576,True
23,The Wolf Among Us,47.75124097528528,10.95,0.0,0.0,0,False,0.077,0.604542857142857,True
24,Hellblade: Senua's Sacrifice VR Edition,47.68252915942457,8.36,0.0,0.0,0,False,0.047,0.09685714285714289,True
25,Volume,47.471621233874714,8.23,0.0,0.0,0,False,0.022000000000000002,0.11879166666666664,True
26,Stick It To The Man!,47.3633462278743,5.68,0.0,0.3833333333333333,1408745763,False,0.066,0.23556249999999998,True
27,Portal of Evil: Stolen Runes Collector's Edition,47.07378207409478,5.47,0.0,0.0,0,False,0.036000000000000004,0.10749999999999998,True
28,Zero Escape: The Nonary Games,47.03329897197206,50.98,0.0,2.75,1631038703,False,0.16399999999999998,0.33468421052631586,True
29,The Sushi Spinnery,46.538154156781566,20.75,0.0,0.2166666666666666,1653417943,False,0.138,0.2891666666666667,True
30,Phoenix Wright: Ace Attorney Trilogy,46.3486261232492,72.09,0.5,163.28333333333333,1764879731,False,0.032,0.24876666666666666,True
